GEO_ID,NAME,S1701_C01_001E
12001,"Alachua County, Florida",248131
12003,"Baker County, Florida",25046
12005,"Bay County, Florida",179926
12007,"Bradford County, Florida",23322
12009,"Brevard County, Florida",570141
12011,"Broward County, Florida",1892224
12013,"Calhoun County, Florida",12344
12015,"Charlotte County, Florida",173303
12017,"Citrus County, Florida",140408
12019,"Clay County, Florida",205316
12021,"Collier County, Florida",360390
12023,"Columbia County, Florida",64026
12027,"DeSoto County, Florida",34529
12029,"Dixie County, Florida",14735
12031,"Duval County, Florida",903209
12033,"Escambia County, Florida",293257
12035,"Flagler County, Florida",106005
12037,"Franklin County, Florida",10125
12039,"Gadsden County, Florida",42666
12041,"Gilchrist County, Florida",16203
12043,"Glades County, Florida",12125
12045,"Gulf County, Florida",13644
12047,"Hamilton County, Florida",10987
12049,"Hardee County, Florida",25381
12051,"Hendry County, Florida",39441
12053,"Hernando County, Florida",180095
12055,"Highlands County, Florida",100625
12057,"Hillsborough County, Florida",1358009
12059,"Holmes County, Florida",17533
12061,"Indian River County, Florida",149408
12063,"Jackson County, Florida",40430
12065,"Jefferson County, Florida",11772
12067,"Lafayette County, Florida",7180
12069,"Lake County, Florida",331345
12071,"Lee County, Florida",708633
12073,"Leon County, Florida",275557
12075,"Levy County, Florida",39479
12077,"Liberty County, Florida",6945
12079,"Madison County, Florida",16348
12081,"Manatee County, Florida",369579
12083,"Marion County, Florida",338000
12085,"Martin County, Florida",154551
12086,"Miami-Dade County, Florida",2676124
12087,"Monroe County, Florida",74863
12089,"Nassau County, Florida",79857
12091,"Okaloosa County, Florida",194963
12093,"Okeechobee County, Florida",37407
12095,"Orange County, Florida",1287834
12097,"Osceola County, Florida",336288
12099,"Palm Beach County, Florida",1426598
12101,"Pasco County, Florida",502183
12103,"Pinellas County, Florida",943631
12105,"Polk County, Florida",655361
12107,"Putnam County, Florida",71161
12109,"St. Johns County, Florida",232900
12111,"St. Lucie County, Florida",302668
12113,"Santa Rosa County, Florida",163722
12115,"Sarasota County, Florida",406586
12117,"Seminole County, Florida",450947
12119,"Sumter County, Florida",111523
12121,"Suwannee County, Florida",42194
12123,"Taylor County, Florida",18047
12125,"Union County, Florida",9701
12127,"Volusia County, Florida",517645
12129,"Wakulla County, Florida",28375
12131,"Walton County, Florida",63730
12133,"Washington County, Florida",21863
