MUNICIPIO,COD,porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Ceiba,101,19.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Porvenir,102,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esparta,103,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jutiapa,104,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Masica,105,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,106,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tela,107,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,108,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trujillo,201,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balfate,202,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iriona,203,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limón,204,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabá,205,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Fe,206,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rosa de Aguán,207,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonaguera,208,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tocoa,209,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonito Oriental,210,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comayagua,301,18.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajuterique,302,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Rosario,303,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esquías,304,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humuya,305,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Libertad,306,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamaní,307,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Trinidad,308,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejamaní,309,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meámbar,310,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
